subscription_id,customer_id,plan_id,start_date,end_date,status,mrr_amount
171,155,3,2024-05-10,2024-05-01,churned,799
172,156,3,2026-06-04,,active,799
173,157,1,2025-11-11,,active,49
174,158,3,2024-12-04,,active,799
175,159,1,2025-10-22,,active,49
176,160,3,2023-10-03,2026-04-01,downgraded,799
177,160,2,2026-04-01,,active,199
178,161,2,2025-07-20,,active,199
179,162,2,2025-12-15,,active,199
180,163,1,2024-08-20,2025-08-01,churned,49
181,164,1,2025-11-07,,active,49
182,165,1,2026-06-06,2026-06-01,churned,49
183,166,1,2025-09-20,2026-05-01,churned,49
184,167,2,2025-07-23,2025-09-01,churned,199
185,168,2,2025-10-26,2026-04-01,churned,199
186,169,1,2024-10-14,,active,49
187,170,1,2024-03-27,2026-01-01,churned,49
188,171,3,2024-10-24,,active,799
189,172,1,2025-09-23,,active,49
190,173,1,2024-11-16,,active,49
191,174,3,2025-01-11,2026-01-01,downgraded,799
192,174,2,2026-01-01,2026-02-01,churned,199
193,175,2,2024-08-27,2025-09-01,churned,199
194,176,2,2024-03-22,2024-05-01,downgraded,199
195,176,1,2024-05-01,2024-06-01,churned,49
196,177,2,2025-02-16,,active,199
197,178,1,2026-02-14,,active,49
198,179,1,2025-01-14,2025-02-01,churned,49
199,180,3,2023-10-14,,active,799
200,181,3,2026-06-25,,active,799
201,182,2,2025-11-04,,active,199
202,183,3,2026-01-22,,active,799
203,184,1,2025-07-12,2026-03-01,churned,49
204,185,1,2024-10-07,2026-05-01,churned,49
205,186,1,2025-08-16,2026-03-01,churned,49
206,187,2,2025-01-23,2025-07-01,churned,199
207,188,3,2025-03-08,,active,799
208,189,2,2023-12-21,2025-07-01,churned,199
209,190,2,2025-08-23,2026-05-01,downgraded,199
210,190,1,2026-05-01,,active,49
211,191,3,2024-02-15,,active,799
212,192,3,2026-03-24,,active,799
213,193,1,2024-04-28,2024-07-01,churned,49
214,194,2,2025-08-01,,active,199
215,195,3,2024-07-16,2024-08-01,churned,799
216,196,2,2024-10-18,,active,199
217,197,3,2023-09-07,,active,799
218,198,1,2026-04-25,,active,49
219,199,1,2025-03-13,2026-04-01,churned,49
220,200,3,2025-06-16,,active,799
221,201,2,2026-03-28,,active,199
222,202,1,2023-08-01,2024-09-01,churned,49
223,203,2,2023-07-03,2023-10-01,churned,199
224,204,1,2024-06-13,2024-09-01,upgraded,49
225,204,2,2024-09-01,,active,199
226,205,3,2023-10-18,2023-11-01,churned,799
227,206,3,2026-01-16,,active,799
228,207,2,2024-10-22,,active,199
229,208,2,2023-12-04,,active,199
230,209,1,2025-05-23,,active,49
231,210,1,2024-12-10,2025-03-01,churned,49
232,211,1,2026-05-19,,active,49
233,212,1,2025-06-28,,active,49
234,213,1,2026-03-05,,active,49
235,214,2,2025-08-01,2026-01-01,churned,199
236,215,1,2026-04-06,,active,49
237,216,3,2025-10-21,,active,799
238,217,3,2024-09-07,,active,799
239,218,1,2026-02-19,,active,49
240,219,2,2026-01-27,2026-01-01,churned,199
241,220,2,2025-05-25,,active,199
242,221,3,2026-06-27,,active,799
243,222,2,2023-12-26,,active,199
244,223,2,2026-06-25,,active,199
245,224,3,2026-06-04,,active,799
246,225,1,2024-08-02,,active,49
247,226,1,2025-05-11,,active,49
248,227,1,2026-01-12,,active,49
249,228,3,2026-01-27,,active,799
250,229,2,2025-05-11,,active,199
251,230,2,2025-09-08,,active,199
252,231,3,2025-04-26,,active,799
253,232,1,2023-11-18,2024-01-01,churned,49
254,233,2,2023-11-19,2024-03-01,upgraded,199
255,233,3,2024-03-01,2024-12-01,churned,799
256,234,1,2024-10-08,2024-11-01,churned,49
257,235,2,2024-08-20,,active,199
258,236,2,2024-09-10,2024-11-01,upgraded,199
259,236,3,2024-11-01,2026-06-01,churned,799
260,237,3,2025-06-10,,active,799
261,238,1,2024-08-05,2025-07-01,churned,49
262,239,3,2024-08-18,2025-10-01,churned,799
263,240,1,2024-08-21,,active,49
264,241,1,2024-06-02,2025-04-01,churned,49
265,242,1,2025-12-28,,active,49
266,243,1,2025-02-12,,active,49
267,244,3,2024-05-27,,active,799
268,245,1,2024-06-01,2024-11-01,churned,49
269,246,2,2025-12-19,2026-01-01,churned,199
270,247,3,2025-12-07,,active,799
271,248,1,2024-09-20,2025-01-01,churned,49
272,249,1,2026-05-18,,active,49
273,250,1,2026-02-05,,active,49
274,251,1,2026-04-01,,active,49
275,252,2,2024-11-04,2025-05-01,churned,199
276,253,1,2025-04-19,2026-01-01,churned,49
277,254,3,2026-01-24,,active,799
278,255,3,2024-03-21,,active,799
279,256,1,2024-10-14,2025-05-01,churned,49
280,257,3,2025-10-03,,active,799
281,258,1,2025-01-21,2025-05-01,churned,49
282,259,1,2025-09-17,2026-05-01,churned,49
283,260,1,2024-03-23,2024-07-01,churned,49
284,261,3,2025-06-24,,active,799
285,262,3,2025-05-11,,active,799
286,263,2,2025-12-14,,active,199
287,264,2,2024-06-16,,active,199
288,265,1,2025-09-24,2025-12-01,upgraded,49
289,265,2,2025-12-01,,active,199
290,266,2,2024-10-18,,active,199
291,267,2,2025-03-22,2025-07-01,churned,199
292,268,3,2026-06-10,2026-06-01,churned,799
293,269,2,2025-09-05,,active,199
294,270,1,2025-07-18,,active,49
295,271,3,2024-05-14,,active,799
296,272,2,2026-04-22,,active,199
297,273,2,2024-07-23,2025-11-01,churned,199
298,274,2,2025-01-11,,active,199
299,275,1,2024-11-13,,active,49
300,276,3,2025-07-24,,active,799
301,277,1,2025-05-12,,active,49
302,278,3,2023-12-03,,active,799
303,279,1,2025-08-22,,active,49
304,280,1,2023-09-15,2024-12-01,churned,49
305,281,1,2025-01-14,2025-03-01,churned,49
306,282,2,2024-02-22,2026-06-01,downgraded,199
307,282,1,2026-06-01,,active,49
308,283,2,2025-09-01,2026-06-01,churned,199
309,284,2,2024-06-09,2025-12-01,downgraded,199
310,284,1,2025-12-01,,active,49
311,285,1,2025-07-06,2025-08-01,churned,49
312,286,1,2024-06-27,2026-01-01,churned,49
313,287,1,2024-09-02,,active,49
314,288,1,2026-01-19,,active,49
315,289,2,2024-09-04,,active,199
316,290,2,2026-01-15,,active,199
317,291,1,2024-10-04,2025-03-01,churned,49
318,292,2,2026-03-28,2026-06-01,churned,199
319,293,1,2026-05-03,,active,49
320,294,2,2024-11-12,,active,199
321,295,1,2026-06-08,2026-06-01,churned,49
322,296,2,2024-03-25,2026-06-01,downgraded,199
323,296,1,2026-06-01,,active,49
324,297,3,2025-07-16,,active,799
325,298,2,2025-04-19,,active,199
326,299,1,2026-01-11,,active,49
327,300,1,2024-08-26,2024-11-01,churned,49
328,301,2,2025-01-15,,active,199
329,302,3,2024-12-21,,active,799
330,303,2,2025-06-13,,active,199
331,304,3,2025-06-15,,active,799
332,305,1,2024-06-16,2025-07-01,churned,49
333,306,1,2025-12-27,2026-04-01,churned,49
334,307,2,2024-12-02,2025-04-01,upgraded,199
335,307,3,2025-04-01,,active,799
336,308,1,2025-04-20,2026-02-01,upgraded,49
337,308,2,2026-02-01,2026-05-01,churned,199
338,309,1,2026-03-25,2026-03-01,churned,49
339,310,1,2026-06-11,,active,49
340,311,2,2024-07-09,2025-01-01,churned,199
341,312,3,2025-06-05,,active,799
342,313,2,2025-11-10,,active,199
343,314,2,2025-05-23,2025-07-01,churned,199
344,315,2,2025-07-11,,active,199
345,316,3,2026-06-22,,active,799
346,317,1,2026-03-12,2026-05-01,churned,49
347,318,3,2025-05-25,,active,799
348,319,2,2025-01-10,,active,199
349,320,3,2025-01-24,,active,799
350,321,1,2025-05-20,,active,49
351,322,2,2024-12-23,,active,199
352,323,1,2025-08-02,,active,49
353,324,1,2024-10-20,,active,49
354,325,1,2026-05-08,,active,49
355,326,1,2026-06-07,2026-06-01,churned,49
356,327,2,2023-11-25,2024-06-01,upgraded,199
357,327,3,2024-06-01,,active,799
358,328,2,2024-07-27,,active,199
359,329,3,2025-05-21,,active,799
360,330,3,2025-10-28,,active,799
361,331,1,2026-04-09,,active,49
362,332,3,2024-08-08,2025-06-01,churned,799
363,333,3,2025-09-02,,active,799
364,334,1,2026-05-12,,active,49
365,335,1,2025-07-21,2025-08-01,churned,49
366,336,1,2025-10-16,2025-10-01,churned,49
367,337,1,2026-02-20,2026-06-01,upgraded,49
368,337,2,2026-06-01,,active,199
369,338,1,2025-05-05,2025-09-01,churned,49
370,339,2,2025-11-25,,active,199
371,340,2,2024-06-21,,active,199
372,341,1,2024-06-20,,active,49
373,342,2,2026-04-05,,active,199
374,343,1,2024-08-14,2025-05-01,churned,49
375,344,3,2025-03-03,,active,799
376,345,1,2026-03-18,,active,49
377,346,1,2024-12-12,2025-01-01,churned,49
378,347,2,2026-05-08,,active,199
379,348,2,2025-06-25,2025-12-01,churned,199
380,349,2,2023-08-21,2024-11-01,churned,199
381,350,1,2026-04-16,,active,49
382,351,1,2026-04-15,,active,49
383,352,3,2024-02-11,,active,799
384,353,2,2025-10-16,2025-11-01,churned,199
385,354,2,2026-01-28,,active,199
386,355,1,2025-03-26,2025-03-01,churned,49
387,356,3,2024-09-11,,active,799
388,357,1,2025-08-17,2025-10-01,upgraded,49
389,357,2,2025-10-01,,active,199
390,358,3,2026-04-20,,active,799
391,359,1,2025-01-03,2025-05-01,churned,49
392,360,1,2025-03-14,2026-04-01,upgraded,49
393,360,2,2026-04-01,,active,199
394,361,2,2026-04-28,,active,199
395,362,2,2026-05-26,,active,199
396,363,3,2026-04-17,,active,799
397,364,3,2026-05-28,,active,799
398,365,2,2024-01-08,2025-01-01,downgraded,199
399,365,1,2025-01-01,,active,49
400,366,1,2026-02-02,,active,49
401,367,3,2026-06-15,,active,799
402,368,2,2025-02-11,,active,199
403,369,1,2024-11-06,2025-08-01,churned,49
404,370,2,2025-09-25,2026-01-01,churned,199
405,371,3,2026-01-23,,active,799
406,372,1,2025-05-03,2025-09-01,churned,49
407,373,1,2024-04-26,2025-06-01,churned,49
408,374,1,2026-03-23,,active,49
409,375,3,2025-03-06,,active,799
410,376,2,2024-05-12,2025-10-01,churned,199
411,377,2,2025-05-08,2025-12-01,upgraded,199
412,377,3,2025-12-01,,active,799
413,378,3,2026-01-15,,active,799
414,379,2,2024-06-03,,active,199
415,380,2,2024-11-14,2026-03-01,churned,199
416,381,1,2025-08-21,,active,49
417,382,2,2024-05-27,2026-01-01,churned,199
418,383,1,2025-07-14,2026-06-01,churned,49
419,384,2,2025-06-05,,active,199
420,385,3,2025-12-12,,active,799
421,386,1,2024-09-09,,active,49
422,387,1,2025-02-10,,active,49
423,388,2,2025-06-19,,active,199
424,389,3,2025-10-11,,active,799
425,390,1,2026-01-03,,active,49
426,391,2,2025-10-07,2026-06-01,churned,199
427,392,2,2024-09-21,2026-04-01,churned,199
428,393,2,2024-12-26,2025-11-01,downgraded,199
429,393,1,2025-11-01,,active,49
430,394,1,2025-11-02,2026-02-01,churned,49
431,395,1,2025-02-20,2025-07-01,churned,49
432,396,2,2025-05-12,2026-06-01,churned,199
433,397,1,2024-03-04,,active,49
434,398,1,2025-09-05,,active,49
435,399,1,2024-09-14,,active,49
436,400,1,2025-11-19,,active,49
437,401,1,2025-05-15,,active,49
438,402,1,2026-05-17,,active,49
439,403,2,2025-08-02,2025-12-01,churned,199
440,404,2,2025-07-16,,active,199
441,405,1,2025-05-09,2026-04-01,churned,49
442,406,1,2025-11-02,,active,49
443,407,2,2026-05-13,,active,199
444,408,1,2026-04-22,,active,49
445,409,3,2024-11-26,2026-06-01,churned,799
446,410,1,2024-10-07,,active,49
447,411,1,2026-04-05,,active,49
448,412,3,2026-06-20,,active,799
449,413,3,2026-02-06,,active,799
450,414,2,2025-04-11,2025-11-01,churned,199
451,415,1,2026-05-10,,active,49
452,416,1,2026-06-14,,active,49
453,417,1,2025-09-21,,active,49
454,418,3,2024-07-25,2026-03-01,churned,799
455,419,1,2024-06-06,,active,49
456,420,3,2026-03-05,,active,799
457,421,2,2024-12-04,,active,199
458,422,1,2024-12-23,2025-09-01,churned,49
459,423,3,2025-10-28,,active,799
460,424,2,2026-01-07,,active,199
461,425,2,2024-12-11,2025-11-01,upgraded,199
462,425,3,2025-11-01,,active,799
463,426,2,2024-05-12,2024-06-01,churned,199
464,427,2,2024-01-23,,active,199
465,428,2,2024-08-18,2025-02-01,churned,199
466,429,3,2024-09-10,2026-02-01,churned,799
467,430,1,2023-12-12,2026-03-01,churned,49
468,431,2,2026-06-04,,active,199
469,432,3,2025-04-27,,active,799
470,433,2,2024-10-10,2026-04-01,churned,199
471,434,3,2025-06-09,,active,799
472,435,2,2023-07-18,2023-11-01,churned,199
473,436,2,2025-04-08,,active,199
474,437,1,2024-04-08,,active,49
475,438,2,2025-05-22,2025-11-01,churned,199
476,439,2,2026-02-14,,active,199
477,440,2,2025-06-07,,active,199
478,441,1,2023-10-25,,active,49
479,442,3,2025-07-28,,active,799
480,443,2,2024-12-06,,active,199
481,444,2,2026-03-16,,active,199
482,445,1,2023-10-02,2023-10-01,churned,49
483,446,1,2025-11-10,,active,49
484,447,2,2025-12-28,,active,199
485,448,2,2024-04-06,,active,199
486,449,2,2025-02-24,,active,199
487,450,2,2024-07-06,,active,199
488,451,1,2025-09-17,2025-11-01,churned,49
489,452,1,2024-05-16,,active,49
490,453,2,2023-07-15,2025-02-01,upgraded,199
491,453,3,2025-02-01,,active,799
492,454,1,2025-02-19,2025-11-01,churned,49
493,455,1,2024-09-22,2024-09-01,churned,49
494,456,2,2025-09-23,,active,199
495,457,2,2024-06-12,,active,199
496,458,1,2026-04-15,,active,49
497,459,2,2024-07-16,2025-05-01,downgraded,199
498,459,1,2025-05-01,,active,49
499,460,2,2024-08-08,2025-01-01,upgraded,199
500,460,3,2025-01-01,,active,799
501,461,2,2023-08-15,,active,199
502,462,3,2025-07-02,,active,799
503,463,1,2024-06-05,,active,49
504,464,1,2025-06-07,,active,49
505,465,2,2025-12-26,,active,199
506,466,1,2025-11-02,2026-05-01,churned,49
507,467,1,2024-04-13,2024-04-01,churned,49
508,468,1,2026-01-02,2026-05-01,churned,49
509,469,3,2026-06-03,,active,799
510,470,1,2024-08-25,2026-02-01,churned,49
511,471,3,2025-09-12,,active,799
512,472,2,2024-10-13,2026-06-01,churned,199
513,473,3,2025-02-21,,active,799
514,474,2,2025-01-17,,active,199
515,475,3,2026-02-01,,active,799
516,476,2,2025-06-18,2025-08-01,churned,199
517,477,1,2026-05-09,2026-05-01,churned,49
518,478,2,2026-04-26,,active,199
519,479,2,2025-10-08,2026-05-01,downgraded,199
520,479,1,2026-05-01,,active,49
521,480,1,2024-02-22,2025-05-01,churned,49
522,481,2,2026-04-15,,active,199
523,482,3,2025-12-05,,active,799
524,483,2,2026-06-19,,active,199
525,484,2,2025-01-08,2026-05-01,churned,199
526,485,2,2026-03-14,,active,199
527,486,3,2025-12-06,,active,799
528,487,1,2026-03-21,,active,49
529,488,1,2025-12-14,,active,49
530,489,3,2024-03-08,,active,799
531,490,3,2023-12-15,,active,799
532,491,2,2023-07-17,,active,199
533,492,2,2023-11-03,,active,199
534,493,1,2024-02-27,2024-08-01,churned,49
535,494,3,2025-05-02,,active,799
536,495,2,2025-08-22,,active,199
537,496,3,2025-11-10,,active,799
538,497,3,2024-03-04,,active,799
539,498,3,2025-10-20,,active,799
540,499,1,2026-03-25,,active,49
541,500,2,2023-12-09,,active,199
542,501,1,2026-04-24,,active,49
543,502,3,2024-09-11,2024-11-01,downgraded,799
544,502,2,2024-11-01,,active,199
545,503,1,2024-12-01,2026-02-01,churned,49
546,504,2,2025-03-10,,active,199
547,505,1,2025-06-08,2025-09-01,churned,49
548,506,3,2024-10-25,,active,799
549,507,2,2026-04-15,,active,199
550,508,1,2026-02-18,,active,49
551,509,2,2026-02-02,,active,199
552,510,1,2024-03-22,2025-07-01,churned,49
553,511,1,2023-10-08,2024-05-01,churned,49
554,512,1,2026-06-12,,active,49
555,513,3,2025-02-22,,active,799
556,514,2,2026-01-01,,active,199
557,515,3,2026-02-17,,active,799
558,516,3,2025-08-04,,active,799
559,517,1,2025-11-17,2026-04-01,churned,49
560,518,3,2024-07-12,2025-06-01,downgraded,799
561,518,2,2025-06-01,,active,199
562,519,1,2025-08-08,2026-05-01,churned,49
563,520,2,2025-02-21,,active,199
564,521,1,2023-12-16,2025-02-01,churned,49
565,522,1,2025-07-28,2025-12-01,churned,49
566,523,3,2025-02-04,,active,799
567,524,2,2024-08-23,2025-03-01,upgraded,199
568,524,3,2025-03-01,,active,799
569,525,2,2026-03-22,,active,199
570,526,3,2026-06-06,,active,799
571,527,3,2023-12-05,2024-09-01,downgraded,799
572,527,2,2024-09-01,2025-11-01,downgraded,199
573,527,1,2025-11-01,,active,49
574,528,1,2024-04-10,2024-04-01,churned,49
575,529,3,2025-11-22,,active,799
576,530,3,2026-01-26,,active,799
577,531,1,2023-09-02,2025-03-01,churned,49
578,532,1,2024-02-25,2024-04-01,churned,49
579,533,3,2024-11-01,2025-10-01,churned,799
580,534,1,2025-06-12,2026-06-01,churned,49
581,535,1,2024-10-22,2025-01-01,churned,49
582,536,1,2026-01-23,2026-03-01,churned,49
583,537,1,2025-08-21,,active,49
584,538,2,2025-06-01,,active,199
585,539,1,2026-01-05,,active,49
586,540,1,2025-09-14,,active,49
587,541,2,2026-03-20,2026-03-01,churned,199
588,542,2,2024-11-13,,active,199
589,543,2,2025-03-19,,active,199
590,544,1,2024-09-10,2025-05-01,churned,49
591,545,1,2025-04-14,2025-11-01,churned,49
592,546,1,2025-11-24,,active,49
593,547,1,2025-08-05,,active,49
594,548,2,2024-04-13,2024-06-01,upgraded,199
595,548,3,2024-06-01,,active,799
596,549,2,2026-01-27,,active,199
597,550,2,2025-03-20,2025-09-01,upgraded,199
598,550,3,2025-09-01,,active,799
599,551,1,2024-07-11,2026-03-01,upgraded,49
600,551,2,2026-03-01,,active,199
601,552,1,2025-03-26,2025-12-01,churned,49
602,553,1,2024-05-12,2024-09-01,churned,49
603,554,2,2024-05-06,2024-09-01,churned,199
604,555,2,2024-12-23,2025-04-01,upgraded,199
605,555,3,2025-04-01,,active,799
606,556,3,2026-01-27,,active,799
607,557,2,2025-08-21,,active,199
608,558,1,2024-04-26,2026-01-01,churned,49
609,559,2,2024-07-13,2024-12-01,upgraded,199
610,559,3,2024-12-01,,active,799
611,560,2,2026-02-18,,active,199
612,561,2,2026-02-18,,active,199
613,562,1,2025-03-22,,active,49
614,563,2,2025-06-21,2025-09-01,churned,199
615,564,1,2025-03-14,2025-08-01,churned,49
616,565,1,2024-10-17,2025-01-01,churned,49
617,566,1,2025-10-13,2026-01-01,churned,49
618,567,3,2024-03-12,,active,799
619,568,2,2026-04-04,,active,199
620,569,2,2023-12-15,2025-06-01,churned,199
621,570,1,2025-10-15,,active,49
622,571,1,2024-07-26,,active,49
623,572,2,2025-01-22,,active,199
624,573,2,2025-04-06,,active,199
625,574,2,2025-09-08,,active,199
626,575,1,2025-12-14,,active,49
627,576,3,2024-08-19,2026-03-01,churned,799
628,577,1,2025-10-25,,active,49
629,578,2,2026-01-28,,active,199
630,579,1,2024-09-09,2025-03-01,churned,49
631,580,3,2025-08-20,,active,799
632,581,1,2026-06-28,,active,49
633,582,3,2024-12-10,,active,799
634,583,2,2024-12-04,2026-02-01,churned,199
635,584,1,2023-10-17,2025-01-01,churned,49
636,585,2,2025-06-06,2025-08-01,churned,199
637,586,2,2025-09-18,2025-11-01,churned,199
638,587,1,2025-10-15,,active,49
639,588,2,2026-03-05,,active,199
640,589,2,2025-04-16,,active,199
641,590,2,2025-01-16,2025-03-01,upgraded,199
642,590,3,2025-03-01,,active,799
643,591,1,2024-08-10,,active,49
644,592,1,2023-09-15,2025-03-01,churned,49
645,593,1,2026-01-04,,active,49
646,594,3,2024-06-18,2025-02-01,downgraded,799
647,594,2,2025-02-01,2025-03-01,churned,199
648,595,3,2026-06-07,,active,799
649,596,2,2026-04-08,,active,199
650,597,2,2023-10-28,2024-07-01,churned,199
651,598,2,2025-07-26,,active,199
652,599,2,2026-04-28,,active,199
653,600,1,2025-07-26,2026-04-01,churned,49
654,601,1,2025-12-18,,active,49
655,602,1,2024-04-10,2024-10-01,churned,49
656,603,2,2025-01-27,,active,199
657,604,3,2024-10-09,,active,799
658,605,3,2025-11-05,,active,799
659,606,2,2025-10-13,2026-04-01,downgraded,199
660,606,1,2026-04-01,,active,49
661,607,1,2025-03-13,2025-04-01,churned,49
662,608,3,2026-05-13,,active,799
663,609,3,2025-10-15,,active,799
664,610,1,2024-11-28,,active,49
