subscription_id,customer_id,plan_id,start_date,end_date,status,mrr_amount,end_date_filled,duration_days,plan_name,tier
284,261,3,2025-06-24,,active,799,2026-06-30,371,Enterprise,3
285,262,3,2025-05-11,,active,799,2026-06-30,415,Enterprise,3
286,263,2,2025-12-14,,active,199,2026-06-30,198,Pro,2
287,264,2,2024-06-16,,active,199,2026-06-30,744,Pro,2
288,265,1,2025-09-24,2025-12-01,upgraded,49,2025-12-01,68,Starter,1
289,265,2,2025-12-01,,active,199,2026-06-30,211,Pro,2
290,266,2,2024-10-18,,active,199,2026-06-30,620,Pro,2
291,267,2,2025-03-22,2025-07-01,churned,199,2025-07-01,101,Pro,2
292,268,3,2026-06-10,2026-06-01,churned,799,2026-06-01,0,Enterprise,3
293,269,2,2025-09-05,,active,199,2026-06-30,298,Pro,2
294,270,1,2025-07-18,,active,49,2026-06-30,347,Starter,1
295,271,3,2024-05-14,,active,799,2026-06-30,777,Enterprise,3
296,272,2,2026-04-22,,active,199,2026-06-30,69,Pro,2
297,273,2,2024-07-23,2025-11-01,churned,199,2025-11-01,466,Pro,2
298,274,2,2025-01-11,,active,199,2026-06-30,535,Pro,2
299,275,1,2024-11-13,,active,49,2026-06-30,594,Starter,1
300,276,3,2025-07-24,,active,799,2026-06-30,341,Enterprise,3
301,277,1,2025-05-12,,active,49,2026-06-30,414,Starter,1
302,278,3,2023-12-03,,active,799,2026-06-30,940,Enterprise,3
303,279,1,2025-08-22,,active,49,2026-06-30,312,Starter,1
304,280,1,2023-09-15,2024-12-01,churned,49,2024-12-01,443,Starter,1
305,281,1,2025-01-14,2025-03-01,churned,49,2025-03-01,46,Starter,1
306,282,2,2024-02-22,2026-06-01,downgraded,199,2026-06-01,830,Pro,2
307,282,1,2026-06-01,,active,49,2026-06-30,29,Starter,1
308,283,2,2025-09-01,2026-06-01,churned,199,2026-06-01,273,Pro,2
309,284,2,2024-06-09,2025-12-01,downgraded,199,2025-12-01,540,Pro,2
310,284,1,2025-12-01,,active,49,2026-06-30,211,Starter,1
311,285,1,2025-07-06,2025-08-01,churned,49,2025-08-01,26,Starter,1
312,286,1,2024-06-27,2026-01-01,churned,49,2026-01-01,553,Starter,1
313,287,1,2024-09-02,,active,49,2026-06-30,666,Starter,1
314,288,1,2026-01-19,,active,49,2026-06-30,162,Starter,1
315,289,2,2024-09-04,,active,199,2026-06-30,664,Pro,2
316,290,2,2026-01-15,,active,199,2026-06-30,166,Pro,2
317,291,1,2024-10-04,2025-03-01,churned,49,2025-03-01,148,Starter,1
318,292,2,2026-03-28,2026-06-01,churned,199,2026-06-01,65,Pro,2
319,293,1,2026-05-03,,active,49,2026-06-30,58,Starter,1
320,294,2,2024-11-12,,active,199,2026-06-30,595,Pro,2
321,295,1,2026-06-08,2026-06-01,churned,49,2026-06-01,0,Starter,1
322,296,2,2024-03-25,2026-06-01,downgraded,199,2026-06-01,798,Pro,2
323,296,1,2026-06-01,,active,49,2026-06-30,29,Starter,1
324,297,3,2025-07-16,,active,799,2026-06-30,349,Enterprise,3
325,298,2,2025-04-19,,active,199,2026-06-30,437,Pro,2
326,299,1,2026-01-11,,active,49,2026-06-30,170,Starter,1
327,300,1,2024-08-26,2024-11-01,churned,49,2024-11-01,67,Starter,1
328,301,2,2025-01-15,,active,199,2026-06-30,531,Pro,2
329,302,3,2024-12-21,,active,799,2026-06-30,556,Enterprise,3
330,303,2,2025-06-13,,active,199,2026-06-30,382,Pro,2
331,304,3,2025-06-15,,active,799,2026-06-30,380,Enterprise,3
332,305,1,2024-06-16,2025-07-01,churned,49,2025-07-01,380,Starter,1
333,306,1,2025-12-27,2026-04-01,churned,49,2026-04-01,95,Starter,1
334,307,2,2024-12-02,2025-04-01,upgraded,199,2025-04-01,120,Pro,2
335,307,3,2025-04-01,,active,799,2026-06-30,455,Enterprise,3
336,308,1,2025-04-20,2026-02-01,upgraded,49,2026-02-01,287,Starter,1
337,308,2,2026-02-01,2026-05-01,churned,199,2026-05-01,89,Pro,2
338,309,1,2026-03-25,2026-03-01,churned,49,2026-03-01,0,Starter,1
339,310,1,2026-06-11,,active,49,2026-06-30,19,Starter,1
340,311,2,2024-07-09,2025-01-01,churned,199,2025-01-01,176,Pro,2
341,312,3,2025-06-05,,active,799,2026-06-30,390,Enterprise,3
342,313,2,2025-11-10,,active,199,2026-06-30,232,Pro,2
343,314,2,2025-05-23,2025-07-01,churned,199,2025-07-01,39,Pro,2
344,315,2,2025-07-11,,active,199,2026-06-30,354,Pro,2
345,316,3,2026-06-22,,active,799,2026-06-30,8,Enterprise,3
346,317,1,2026-03-12,2026-05-01,churned,49,2026-05-01,50,Starter,1
347,318,3,2025-05-25,,active,799,2026-06-30,401,Enterprise,3
348,319,2,2025-01-10,,active,199,2026-06-30,536,Pro,2
349,320,3,2025-01-24,,active,799,2026-06-30,522,Enterprise,3
350,321,1,2025-05-20,,active,49,2026-06-30,406,Starter,1
351,322,2,2024-12-23,,active,199,2026-06-30,554,Pro,2
352,323,1,2025-08-02,,active,49,2026-06-30,332,Starter,1
353,324,1,2024-10-20,,active,49,2026-06-30,618,Starter,1
354,325,1,2026-05-08,,active,49,2026-06-30,53,Starter,1
355,326,1,2026-06-07,2026-06-01,churned,49,2026-06-01,0,Starter,1
356,327,2,2023-11-25,2024-06-01,upgraded,199,2024-06-01,189,Pro,2
357,327,3,2024-06-01,,active,799,2026-06-30,759,Enterprise,3
358,328,2,2024-07-27,,active,199,2026-06-30,703,Pro,2
359,329,3,2025-05-21,,active,799,2026-06-30,405,Enterprise,3
360,330,3,2025-10-28,,active,799,2026-06-30,245,Enterprise,3
361,331,1,2026-04-09,,active,49,2026-06-30,82,Starter,1
362,332,3,2024-08-08,2025-06-01,churned,799,2025-06-01,297,Enterprise,3
363,333,3,2025-09-02,,active,799,2026-06-30,301,Enterprise,3
364,334,1,2026-05-12,,active,49,2026-06-30,49,Starter,1
365,335,1,2025-07-21,2025-08-01,churned,49,2025-08-01,11,Starter,1
366,336,1,2025-10-16,2025-10-01,churned,49,2025-10-01,0,Starter,1
367,337,1,2026-02-20,2026-06-01,upgraded,49,2026-06-01,101,Starter,1
368,337,2,2026-06-01,,active,199,2026-06-30,29,Pro,2
369,338,1,2025-05-05,2025-09-01,churned,49,2025-09-01,119,Starter,1
370,339,2,2025-11-25,,active,199,2026-06-30,217,Pro,2
371,340,2,2024-06-21,,active,199,2026-06-30,739,Pro,2
372,341,1,2024-06-20,,active,49,2026-06-30,740,Starter,1
373,342,2,2026-04-05,,active,199,2026-06-30,86,Pro,2
374,343,1,2024-08-14,2025-05-01,churned,49,2025-05-01,260,Starter,1
375,344,3,2025-03-03,,active,799,2026-06-30,484,Enterprise,3
376,345,1,2026-03-18,,active,49,2026-06-30,104,Starter,1
377,346,1,2024-12-12,2025-01-01,churned,49,2025-01-01,20,Starter,1
378,347,2,2026-05-08,,active,199,2026-06-30,53,Pro,2
379,348,2,2025-06-25,2025-12-01,churned,199,2025-12-01,159,Pro,2
380,349,2,2023-08-21,2024-11-01,churned,199,2024-11-01,438,Pro,2
