payment_id,subscription_id,customer_id,payment_date,amount,status
252,32,30,2026-03-27,799,succeeded
253,32,30,2026-04-25,799,succeeded
254,32,30,2026-05-27,799,succeeded
255,32,30,2026-06-28,799,succeeded
256,33,31,2024-11-01,49,succeeded
257,33,31,2024-12-02,49,succeeded
258,33,31,2025-01-04,49,succeeded
259,33,31,2025-02-04,49,succeeded
260,33,31,2025-03-03,49,succeeded
261,33,31,2025-04-03,49,succeeded
262,34,32,2025-07-10,199,succeeded
263,34,32,2025-08-13,199,succeeded
264,34,32,2025-09-12,199,succeeded
265,34,32,2025-10-12,199,succeeded
266,34,32,2025-11-13,199,succeeded
267,34,32,2025-12-14,199,succeeded
268,34,32,2026-01-13,199,succeeded
269,34,32,2026-02-11,199,succeeded
270,34,32,2026-03-12,199,succeeded
271,34,32,2026-04-11,199,succeeded
272,34,32,2026-05-13,199,succeeded
273,34,32,2026-06-10,199,succeeded
274,35,33,2025-09-06,199,succeeded
275,35,33,2025-10-07,199,succeeded
276,35,33,2025-11-04,199,succeeded
277,35,33,2025-12-03,199,succeeded
278,35,33,2026-01-04,199,succeeded
279,35,33,2026-02-06,199,succeeded
280,35,33,2026-03-03,199,succeeded
281,35,33,2026-04-03,199,succeeded
282,35,33,2026-05-04,199,succeeded
283,35,33,2026-06-06,199,succeeded
284,36,34,2024-12-25,199,succeeded
285,36,34,2025-01-26,199,succeeded
286,36,34,2025-02-27,199,succeeded
287,36,34,2025-03-25,199,succeeded
288,36,34,2025-04-27,199,succeeded
289,36,34,2025-05-28,199,succeeded
290,36,34,2025-06-26,199,succeeded
291,36,34,2025-07-29,199,succeeded
292,36,34,2025-08-28,199,succeeded
293,36,34,2025-09-27,199,succeeded
294,36,34,2025-10-26,199,succeeded
295,36,34,2025-11-27,199,succeeded
296,36,34,2025-12-28,199,succeeded
297,36,34,2026-01-25,199,succeeded
298,36,34,2026-02-26,199,succeeded
299,36,34,2026-03-26,199,succeeded
300,36,34,2026-04-26,199,succeeded
301,36,34,2026-05-25,199,succeeded
302,36,34,2026-06-25,199,succeeded
303,37,35,2025-08-09,799,succeeded
304,37,35,2025-09-11,799,succeeded
305,37,35,2025-10-09,799,succeeded
306,37,35,2025-11-10,799,failed
307,37,35,2025-11-12,799,succeeded
308,37,35,2025-12-10,799,succeeded
309,37,35,2026-01-10,799,succeeded
310,37,35,2026-02-11,799,succeeded
311,37,35,2026-03-11,799,succeeded
312,37,35,2026-04-13,799,succeeded
313,37,35,2026-05-11,799,succeeded
314,37,35,2026-06-13,799,succeeded
315,38,36,2024-07-28,799,succeeded
316,38,36,2024-08-28,799,failed
317,38,36,2024-09-03,799,succeeded
318,38,36,2024-09-26,799,succeeded
319,38,36,2024-10-27,799,succeeded
320,38,36,2024-11-26,799,succeeded
321,38,36,2024-12-27,799,succeeded
322,38,36,2025-01-28,799,succeeded
323,38,36,2025-02-26,799,succeeded
324,38,36,2025-03-28,799,succeeded
325,38,36,2025-04-27,799,succeeded
326,38,36,2025-05-25,799,failed
327,38,36,2025-05-30,799,succeeded
328,38,36,2025-06-27,799,succeeded
329,38,36,2025-07-29,799,succeeded
330,38,36,2025-08-27,799,succeeded
331,38,36,2025-09-27,799,succeeded
332,38,36,2025-10-26,799,succeeded
333,38,36,2025-11-29,799,succeeded
334,38,36,2025-12-26,799,succeeded
335,38,36,2026-01-27,799,succeeded
336,38,36,2026-02-25,799,succeeded
337,38,36,2026-03-28,799,succeeded
338,38,36,2026-04-25,799,succeeded
339,38,36,2026-05-25,799,succeeded
340,38,36,2026-06-26,799,succeeded
341,39,37,2024-01-24,49,succeeded
342,39,37,2024-02-21,49,succeeded
343,39,37,2024-03-21,49,succeeded
344,39,37,2024-04-24,49,succeeded
345,39,37,2024-05-21,49,succeeded
346,39,37,2024-06-22,49,succeeded
347,39,37,2024-07-22,49,succeeded
348,39,37,2024-08-23,49,succeeded
349,39,37,2024-09-24,49,succeeded
350,39,37,2024-10-21,49,succeeded
351,39,37,2024-11-23,49,succeeded
352,39,37,2024-12-22,49,succeeded
353,39,37,2025-01-25,49,succeeded
354,40,38,2024-07-10,49,succeeded
355,40,38,2024-08-08,49,succeeded
356,40,38,2024-09-10,49,succeeded
357,40,38,2024-10-08,49,succeeded
358,40,38,2024-11-10,49,succeeded
359,41,39,2026-03-08,49,succeeded
360,41,39,2026-04-08,49,failed
361,41,39,2026-04-12,49,succeeded
362,42,40,2026-01-05,199,succeeded
363,42,40,2026-02-05,199,succeeded
364,42,40,2026-03-06,199,succeeded
365,42,40,2026-04-04,199,succeeded
366,42,40,2026-05-05,199,succeeded
367,42,40,2026-06-06,199,succeeded
368,43,41,2026-01-16,49,succeeded
369,43,41,2026-02-17,49,succeeded
370,43,41,2026-03-17,49,succeeded
371,44,42,2025-06-20,799,succeeded
372,44,42,2025-07-20,799,succeeded
373,44,42,2025-08-20,799,succeeded
374,44,42,2025-09-22,799,succeeded
375,44,42,2025-10-23,799,succeeded
376,44,42,2025-11-20,799,succeeded
377,44,42,2025-12-23,799,succeeded
378,44,42,2026-01-20,799,succeeded
379,44,42,2026-02-22,799,succeeded
380,44,42,2026-03-23,799,succeeded
381,44,42,2026-04-21,799,succeeded
382,44,42,2026-05-20,799,succeeded
383,44,42,2026-06-19,799,succeeded
384,46,44,2026-01-31,49,succeeded
385,46,44,2026-03-02,49,succeeded
386,46,44,2026-03-29,49,succeeded
387,46,44,2026-05-01,49,succeeded
388,46,44,2026-05-29,49,succeeded
389,46,44,2026-07-01,49,succeeded
390,47,45,2024-05-03,799,succeeded
391,47,45,2024-06-06,799,succeeded
392,47,45,2024-07-04,799,succeeded
393,47,45,2024-08-03,799,succeeded
394,47,45,2024-09-06,799,succeeded
395,47,45,2024-10-05,799,succeeded
396,47,45,2024-11-05,799,succeeded
397,47,45,2024-12-04,799,succeeded
398,47,45,2025-01-06,799,succeeded
399,47,45,2025-02-05,799,succeeded
400,47,45,2025-03-06,799,succeeded
401,47,45,2025-04-06,799,succeeded
402,47,45,2025-05-03,799,succeeded
403,47,45,2025-06-05,799,succeeded
404,47,45,2025-07-03,799,succeeded
405,47,45,2025-08-06,799,succeeded
406,47,45,2025-09-06,799,succeeded
407,47,45,2025-10-05,799,succeeded
408,47,45,2025-11-03,799,succeeded
409,47,45,2025-12-06,799,succeeded
410,47,45,2026-01-03,799,succeeded
411,47,45,2026-02-04,799,succeeded
412,48,45,2026-03-01,199,succeeded
413,48,45,2026-04-04,199,failed
414,48,45,2026-04-06,199,succeeded
415,48,45,2026-05-02,199,succeeded
416,48,45,2026-06-03,199,succeeded
417,49,45,2026-06-05,49,succeeded
418,50,46,2023-12-08,199,succeeded
419,50,46,2024-01-10,199,succeeded
420,50,46,2024-02-08,199,succeeded
421,50,46,2024-03-11,199,succeeded
422,50,46,2024-04-09,199,succeeded
423,50,46,2024-05-08,199,succeeded
424,51,47,2023-08-17,49,succeeded
425,51,47,2023-09-18,49,succeeded
426,51,47,2023-10-17,49,succeeded
427,51,47,2023-11-17,49,succeeded
428,52,48,2025-04-30,49,succeeded
429,53,49,2023-12-01,799,succeeded
430,53,49,2024-01-01,799,succeeded
431,53,49,2024-02-01,799,succeeded
432,53,49,2024-03-02,799,succeeded
433,53,49,2024-04-01,799,succeeded
434,53,49,2024-05-03,799,succeeded
435,53,49,2024-06-04,799,failed
436,53,49,2024-06-10,799,succeeded
437,53,49,2024-07-01,799,succeeded
438,53,49,2024-08-05,799,succeeded
439,53,49,2024-09-05,799,succeeded
440,53,49,2024-10-03,799,succeeded
441,53,49,2024-11-02,799,succeeded
442,53,49,2024-12-01,799,failed
443,53,49,2024-12-06,799,succeeded
444,53,49,2025-01-04,799,succeeded
445,53,49,2025-02-01,799,succeeded
446,53,49,2025-03-02,799,succeeded
447,53,49,2025-04-01,799,succeeded
448,53,49,2025-05-01,799,succeeded
449,53,49,2025-06-05,799,succeeded
450,53,49,2025-07-05,799,succeeded
451,53,49,2025-08-02,799,succeeded
452,53,49,2025-09-02,799,succeeded
453,53,49,2025-10-05,799,succeeded
454,53,49,2025-11-05,799,succeeded
455,53,49,2025-12-02,799,succeeded
456,53,49,2026-01-01,799,succeeded
457,53,49,2026-02-03,799,succeeded
458,53,49,2026-03-04,799,succeeded
459,53,49,2026-04-03,799,succeeded
460,53,49,2026-05-02,799,succeeded
461,53,49,2026-06-04,799,succeeded
462,54,50,2024-03-15,199,succeeded
463,54,50,2024-04-16,199,succeeded
464,54,50,2024-05-16,199,succeeded
465,54,50,2024-06-14,199,succeeded
466,54,50,2024-07-18,199,succeeded
467,54,50,2024-08-14,199,succeeded
468,54,50,2024-09-14,199,succeeded
469,54,50,2024-10-16,199,succeeded
470,54,50,2024-11-18,199,succeeded
471,54,50,2024-12-18,199,succeeded
472,54,50,2025-01-16,199,succeeded
473,54,50,2025-02-16,199,succeeded
474,54,50,2025-03-14,199,succeeded
475,54,50,2025-04-14,199,succeeded
476,54,50,2025-05-18,199,succeeded
477,54,50,2025-06-15,199,succeeded
478,54,50,2025-07-18,199,succeeded
479,54,50,2025-08-16,199,succeeded
480,54,50,2025-09-16,199,succeeded
481,54,50,2025-10-14,199,succeeded
482,54,50,2025-11-14,199,succeeded
483,54,50,2025-12-18,199,succeeded
484,54,50,2026-01-18,199,succeeded
485,54,50,2026-02-16,199,succeeded
486,54,50,2026-03-15,199,succeeded
487,54,50,2026-04-16,199,succeeded
488,54,50,2026-05-18,199,succeeded
489,54,50,2026-06-14,199,succeeded
490,55,51,2026-04-10,49,succeeded
491,55,51,2026-05-06,49,succeeded
492,55,51,2026-06-07,49,succeeded
493,56,52,2026-03-29,49,failed
494,56,52,2026-03-31,49,succeeded
495,56,52,2026-04-30,49,succeeded
496,56,52,2026-05-27,49,succeeded
497,56,52,2026-06-29,49,succeeded
498,57,53,2025-08-18,799,succeeded
499,57,53,2025-09-22,799,succeeded
500,57,53,2025-10-21,799,succeeded
501,57,53,2025-11-19,799,succeeded
502,57,53,2025-12-20,799,succeeded
503,57,53,2026-01-21,799,succeeded
504,57,53,2026-02-19,799,succeeded
505,57,53,2026-03-18,799,succeeded
506,57,53,2026-04-18,799,succeeded
507,57,53,2026-05-22,799,succeeded
508,57,53,2026-06-20,799,succeeded
509,58,54,2026-01-06,49,succeeded
510,58,54,2026-02-05,49,succeeded
511,58,54,2026-03-04,49,succeeded
512,58,54,2026-04-02,49,succeeded
513,58,54,2026-05-03,49,succeeded
514,58,54,2026-06-05,49,succeeded
515,59,55,2024-09-03,199,succeeded
516,59,55,2024-10-06,199,succeeded
517,59,55,2024-11-06,199,succeeded
518,59,55,2024-12-06,199,succeeded
519,59,55,2025-01-06,199,succeeded
520,59,55,2025-02-04,199,succeeded
521,59,55,2025-03-05,199,succeeded
522,59,55,2025-04-06,199,succeeded
523,59,55,2025-05-02,199,succeeded
524,59,55,2025-06-05,199,succeeded
525,59,55,2025-07-05,199,succeeded
526,59,55,2025-08-06,199,succeeded
527,59,55,2025-09-04,199,succeeded
528,59,55,2025-10-05,199,succeeded
529,59,55,2025-11-06,199,succeeded
530,59,55,2025-12-05,199,succeeded
531,60,55,2026-01-05,49,succeeded
532,60,55,2026-02-01,49,succeeded
533,61,56,2026-01-04,799,failed
534,61,56,2026-02-04,799,succeeded
535,61,56,2026-03-04,799,succeeded
536,61,56,2026-04-02,799,succeeded
537,61,56,2026-05-06,799,succeeded
538,61,56,2026-06-02,799,succeeded
539,62,57,2026-04-07,49,succeeded
540,62,57,2026-05-06,49,succeeded
541,62,57,2026-06-07,49,succeeded
542,63,58,2025-05-10,49,succeeded
543,63,58,2025-06-10,49,succeeded
544,63,58,2025-07-10,49,succeeded
545,63,58,2025-08-11,49,succeeded
546,63,58,2025-09-11,49,succeeded
547,63,58,2025-10-12,49,succeeded
548,63,58,2025-11-09,49,succeeded
549,63,58,2025-12-12,49,succeeded
550,64,59,2023-10-21,49,succeeded
551,64,59,2023-11-20,49,succeeded
552,64,59,2023-12-23,49,succeeded
553,64,59,2024-01-22,49,succeeded
554,64,59,2024-02-23,49,succeeded
555,64,59,2024-03-22,49,succeeded
556,64,59,2024-04-23,49,succeeded
557,65,59,2024-05-02,199,succeeded
558,65,59,2024-06-02,199,succeeded
559,65,59,2024-07-04,199,failed
560,65,59,2024-07-09,199,succeeded
561,65,59,2024-08-03,199,succeeded
562,65,59,2024-09-05,199,succeeded
563,65,59,2024-10-04,199,succeeded
564,65,59,2024-11-03,199,succeeded
565,65,59,2024-12-03,199,succeeded
566,65,59,2025-01-01,199,succeeded
567,65,59,2025-02-05,199,succeeded
568,65,59,2025-03-04,199,succeeded
569,65,59,2025-04-02,199,succeeded
570,65,59,2025-05-02,199,succeeded
571,65,59,2025-06-03,199,succeeded
572,65,59,2025-07-03,199,succeeded
573,65,59,2025-08-05,199,succeeded
574,65,59,2025-09-04,199,succeeded
575,65,59,2025-10-03,199,succeeded
576,65,59,2025-11-05,199,succeeded
577,66,60,2023-09-23,49,succeeded
578,66,60,2023-10-25,49,succeeded
579,66,60,2023-11-27,49,succeeded
580,66,60,2023-12-24,49,succeeded
581,66,60,2024-01-27,49,succeeded
582,67,60,2024-02-02,199,succeeded
583,67,60,2024-03-03,199,succeeded
584,67,60,2024-04-01,199,succeeded
585,67,60,2024-05-05,199,succeeded
586,67,60,2024-06-03,199,succeeded
587,67,60,2024-07-02,199,succeeded
588,67,60,2024-08-03,199,succeeded
589,67,60,2024-09-02,199,succeeded
590,67,60,2024-10-05,199,succeeded
591,67,60,2024-11-03,199,succeeded
592,67,60,2024-12-05,199,succeeded
593,67,60,2025-01-01,199,succeeded
594,67,60,2025-02-01,199,succeeded
595,67,60,2025-03-04,199,succeeded
596,67,60,2025-04-03,199,succeeded
597,67,60,2025-05-02,199,succeeded
598,67,60,2025-06-05,199,succeeded
599,67,60,2025-07-04,199,succeeded
600,67,60,2025-08-02,199,failed
601,67,60,2025-09-04,199,succeeded
602,67,60,2025-10-04,199,succeeded
603,67,60,2025-11-05,199,succeeded
604,67,60,2025-12-05,199,failed
605,67,60,2025-12-07,199,succeeded
606,67,60,2026-01-04,199,succeeded
607,67,60,2026-02-05,199,succeeded
608,67,60,2026-03-03,199,succeeded
609,68,60,2026-03-04,799,succeeded
610,68,60,2026-04-02,799,succeeded
611,68,60,2026-05-02,799,succeeded
612,68,60,2026-06-01,799,succeeded
613,69,61,2025-08-12,49,succeeded
614,69,61,2025-09-13,49,succeeded
615,69,61,2025-10-12,49,succeeded
616,69,61,2025-11-11,49,succeeded
617,69,61,2025-12-14,49,succeeded
618,69,61,2026-01-11,49,succeeded
619,69,61,2026-02-12,49,succeeded
620,69,61,2026-03-11,49,succeeded
621,69,61,2026-04-13,49,succeeded
622,69,61,2026-05-10,49,succeeded
623,69,61,2026-06-13,49,succeeded
624,70,62,2025-10-18,799,succeeded
625,70,62,2025-11-17,799,succeeded
626,70,62,2025-12-17,799,succeeded
627,70,62,2026-01-19,799,succeeded
628,70,62,2026-02-16,799,succeeded
629,70,62,2026-03-18,799,succeeded
630,70,62,2026-04-15,799,succeeded
631,70,62,2026-05-16,799,succeeded
632,70,62,2026-06-17,799,succeeded
633,71,63,2026-01-11,49,succeeded
634,71,63,2026-02-11,49,succeeded
635,71,63,2026-03-07,49,succeeded
636,71,63,2026-04-10,49,succeeded
637,72,64,2025-03-10,49,succeeded
638,72,64,2025-04-09,49,succeeded
639,72,64,2025-05-08,49,succeeded
640,72,64,2025-06-09,49,succeeded
641,72,64,2025-07-09,49,succeeded
642,72,64,2025-08-09,49,succeeded
643,72,64,2025-09-12,49,succeeded
644,72,64,2025-10-10,49,succeeded
645,72,64,2025-11-10,49,succeeded
646,72,64,2025-12-12,49,succeeded
647,72,64,2026-01-11,49,succeeded
648,72,64,2026-02-10,49,failed
649,72,64,2026-02-16,49,succeeded
650,72,64,2026-03-11,49,succeeded
651,72,64,2026-04-10,49,succeeded
652,72,64,2026-05-12,49,succeeded
653,72,64,2026-06-11,49,succeeded
654,73,65,2025-08-13,199,succeeded
655,73,65,2025-09-13,199,succeeded
656,73,65,2025-10-11,199,succeeded
657,73,65,2025-11-14,199,succeeded
658,73,65,2025-12-11,199,succeeded
659,73,65,2026-01-13,199,succeeded
660,73,65,2026-02-13,199,succeeded
661,73,65,2026-03-12,199,succeeded
662,73,65,2026-04-14,199,succeeded
663,73,65,2026-05-13,199,succeeded
664,73,65,2026-06-11,199,succeeded
665,74,66,2024-01-26,799,succeeded
666,74,66,2024-02-22,799,succeeded
667,74,66,2024-03-25,799,succeeded
668,74,66,2024-04-22,799,succeeded
669,74,66,2024-05-22,799,succeeded
670,74,66,2024-06-25,799,succeeded
671,74,66,2024-07-23,799,succeeded
672,74,66,2024-08-26,799,succeeded
673,74,66,2024-09-23,799,succeeded
674,74,66,2024-10-24,799,succeeded
675,74,66,2024-11-26,799,succeeded
676,74,66,2024-12-25,799,succeeded
677,74,66,2025-01-24,799,succeeded
678,74,66,2025-02-23,799,succeeded
679,74,66,2025-03-26,799,succeeded
680,74,66,2025-04-26,799,succeeded
681,74,66,2025-05-24,799,succeeded
682,74,66,2025-06-22,799,succeeded
683,74,66,2025-07-23,799,succeeded
684,74,66,2025-08-25,799,succeeded
685,74,66,2025-09-25,799,succeeded
686,74,66,2025-10-26,799,succeeded
687,74,66,2025-11-25,799,succeeded
688,74,66,2025-12-24,799,succeeded
689,74,66,2026-01-24,799,succeeded
690,74,66,2026-02-24,799,succeeded
691,74,66,2026-03-26,799,succeeded
692,74,66,2026-04-24,799,succeeded
693,74,66,2026-05-25,799,succeeded
694,74,66,2026-06-26,799,succeeded
695,75,67,2025-04-12,49,succeeded
696,75,67,2025-05-11,49,succeeded
697,75,67,2025-06-10,49,succeeded
698,76,68,2025-05-13,199,succeeded
699,76,68,2025-06-12,199,succeeded
