customer_id,company_name,country,industry,employee_size_band,signup_date,signup_quarter
28,"Hoffman, Baker and Richards",United States,Design Studio,11-50,2025-01-17,2025Q1
29,"Ross, Robinson and Bright",Portugal,PR Agency,1-10,2024-11-17,2024Q4
30,"Snyder, Campos and Callahan",United States,Digital Agency,11-50,2025-04-25,2025Q2
31,Burton Ltd,Portugal,Branding Agency,11-50,2024-11-01,2024Q4
32,Carlson-Cruz,United States,Dev Shop / Software Consulting,51+,2025-07-10,2025Q3
33,"Ferrell, Rice and Maddox",United States,Marketing Agency,11-50,2025-09-03,2025Q3
34,Frazier Inc,Germany,Digital Agency,51+,2024-12-25,2024Q4
35,"Dyer, Potter and Mack",Germany,Design Studio,51+,2025-08-09,2025Q3
36,Rodriguez-Graham,United Kingdom,Digital Agency,51+,2024-07-25,2024Q3
37,Smith-Bowen,United States,PR Agency,1-10,2024-01-21,2024Q1
38,"Baker, Mason and White",Portugal,Design Studio,1-10,2024-07-08,2024Q3
39,Harrell LLC,United States,Digital Agency,11-50,2026-03-08,2026Q1
40,"Romero, Gonzalez and Brooks",Germany,Marketing Agency,1-10,2026-01-02,2026Q1
41,Ryan PLC,United States,PR Agency,1-10,2026-01-16,2026Q1
42,George Group,United States,Digital Agency,51+,2025-06-19,2025Q2
43,Rodriguez LLC,Germany,Design Studio,11-50,2024-02-04,2024Q1
44,Allen-Allen,United Kingdom,Branding Agency,1-10,2026-01-28,2026Q1
45,"Arroyo, Miller and Tucker",Germany,Marketing Agency,51+,2024-05-02,2024Q2
46,Spence PLC,United States,Design Studio,51+,2023-12-07,2023Q4
47,Anderson Group,United Kingdom,Management Consulting,1-10,2023-08-15,2023Q3
48,"Martin, Rose and Obrien",Portugal,Dev Shop / Software Consulting,1-10,2025-04-28,2025Q2
49,Hickman Ltd,United States,Dev Shop / Software Consulting,51+,2023-12-01,2023Q4
50,"Harris, Collins and Carney",Portugal,Design Studio,11-50,2024-03-14,2024Q1
51,"Brooks, Lam and Hayes",United States,Marketing Agency,1-10,2026-04-06,2026Q2
52,Walker LLC,Portugal,Dev Shop / Software Consulting,1-10,2026-03-26,2026Q1
53,Chapman and Sons,United Kingdom,Dev Shop / Software Consulting,51+,2025-08-18,2025Q3
54,"Robinson, Jones and Welch",United Kingdom,Design Studio,1-10,2026-01-02,2026Q1
55,Jones Inc,United Kingdom,Marketing Agency,11-50,2024-09-02,2024Q3
56,Jones-Young,United Kingdom,Design Studio,51+,2026-01-02,2026Q1
57,"Washington, Ryan and Cummings",United States,Digital Agency,1-10,2026-04-03,2026Q2
58,"Johnston, Sanchez and Kennedy",United States,Digital Agency,1-10,2025-05-08,2025Q2
59,Lee-Davis,United States,PR Agency,1-10,2023-10-19,2023Q4
60,Gomez-Jenkins,United States,PR Agency,1-10,2023-09-23,2023Q3
61,"Brown, Valdez and Lucas",United States,PR Agency,1-10,2025-08-10,2025Q3
62,Powell LLC,Portugal,Marketing Agency,51+,2025-10-15,2025Q4
63,Wright and Sons,United Kingdom,Digital Agency,1-10,2026-01-07,2026Q1
64,"West, Henderson and Ramirez",United States,Marketing Agency,1-10,2025-03-08,2025Q1
65,Baxter Inc,United States,PR Agency,11-50,2025-08-10,2025Q3
66,Morton-Chase,Portugal,Marketing Agency,11-50,2024-01-22,2024Q1
67,Williams PLC,United States,Design Studio,11-50,2025-04-09,2025Q2
68,Novak and Sons,United States,Management Consulting,11-50,2025-05-10,2025Q2
69,Russell Group,Germany,PR Agency,1-10,2026-03-28,2026Q1
70,Hancock Inc,United Kingdom,Dev Shop / Software Consulting,51+,2025-07-02,2025Q3
71,Gray Group,United Kingdom,Marketing Agency,1-10,2026-04-11,2026Q2
72,House-Glover,United Kingdom,PR Agency,1-10,2025-10-15,2025Q4
73,Henderson-Bernard,United Kingdom,Marketing Agency,1-10,2026-04-23,2026Q2
74,"Stanley, Tucker and Lee",United Kingdom,Digital Agency,11-50,2024-05-18,2024Q2
75,Novak PLC,United States,Dev Shop / Software Consulting,1-10,2024-09-28,2024Q3
76,"Daniels, Adkins and Brown",United States,PR Agency,11-50,2025-07-04,2025Q3
77,"Woods, Calhoun and Schmidt",United Kingdom,Unknown,51+,2025-01-24,2025Q1
78,Yu Inc,Portugal,Dev Shop / Software Consulting,51+,2026-05-26,2026Q2
79,Jones Inc,United Kingdom,Management Consulting,1-10,2024-12-26,2024Q4
80,"Hensley, Powell and David",Germany,Dev Shop / Software Consulting,51+,2024-07-08,2024Q3
81,"Sanchez, Wheeler and Harvey",Germany,Dev Shop / Software Consulting,1-10,2024-11-02,2024Q4
82,Sandoval-Cunningham,United States,Branding Agency,11-50,2025-03-12,2025Q1
83,Donovan-Harris,Germany,Marketing Agency,1-10,2026-06-22,2026Q2
84,"Edwards, Baker and Anderson",United States,Dev Shop / Software Consulting,51+,2024-02-09,2024Q1
85,"Evans, Stewart and Walton",United Kingdom,Dev Shop / Software Consulting,11-50,2023-11-18,2023Q4
86,Smith PLC,United States,Management Consulting,51+,2024-09-06,2024Q3
87,"Ferrell, Jones and Lewis",Portugal,Digital Agency,1-10,2025-12-14,2025Q4
88,Anderson-Bailey,Germany,Digital Agency,1-10,2025-03-04,2025Q1
89,Suarez LLC,United Kingdom,PR Agency,1-10,2025-07-14,2025Q3
90,Moore-Bass,Portugal,PR Agency,11-50,2025-07-24,2025Q3
91,"Turner, Riggs and Roman",United States,PR Agency,1-10,2025-01-11,2025Q1
92,"Smith, Montoya and Evans",Germany,Management Consulting,1-10,2024-10-17,2024Q4
93,"Garcia, Humphrey and Baker",United Kingdom,Management Consulting,1-10,2026-03-18,2026Q1
94,Newton and Sons,United Kingdom,PR Agency,51+,2023-10-24,2023Q4
95,Campbell-Clark,United Kingdom,Digital Agency,1-10,2025-01-27,2025Q1
96,Harris-Walters,United States,Digital Agency,1-10,2025-07-20,2025Q3
97,Wagner-King,United Kingdom,Design Studio,1-10,2026-01-17,2026Q1
98,Davis Group,Portugal,Design Studio,11-50,2024-12-22,2024Q4
99,Williams-Cook,United Kingdom,Management Consulting,11-50,2024-09-03,2024Q3
100,Walsh LLC,Germany,Design Studio,11-50,2025-12-26,2025Q4
101,Figueroa PLC,United States,Branding Agency,1-10,2025-03-20,2025Q1
102,"Patterson, Smith and Jones",United States,PR Agency,1-10,2025-06-19,2025Q2
103,"Mckee, Gardner and Davenport",Germany,Design Studio,1-10,2023-08-05,2023Q3
104,"Tran, Jordan and Williams",United States,Dev Shop / Software Consulting,11-50,2026-02-04,2026Q1
105,Nolan-Flynn,United States,PR Agency,11-50,2026-05-17,2026Q2
106,Nolan and Sons,United Kingdom,Marketing Agency,51+,2026-05-15,2026Q2
107,"Wright, Garcia and Deleon",United Kingdom,Digital Agency,11-50,2025-12-20,2025Q4
108,Dickson-Brady,Germany,Dev Shop / Software Consulting,1-10,2025-09-24,2025Q3
109,Hancock and Sons,United Kingdom,Branding Agency,51+,2025-05-06,2025Q2
110,Johnson-Doyle,United Kingdom,Design Studio,1-10,2024-09-27,2024Q3
111,Patton-Jenkins,Germany,PR Agency,11-50,2024-06-08,2024Q2
112,"Shields, Cochran and Adams",United States,Management Consulting,1-10,2025-09-11,2025Q3
113,"Rodriguez, Brennan and Garrison",United Kingdom,Design Studio,1-10,2026-03-13,2026Q1
114,Gonzalez Group,Germany,Branding Agency,1-10,2025-02-11,2025Q1
115,Torres-Pope,United Kingdom,Branding Agency,1-10,2026-01-13,2026Q1
116,Walker Ltd,United Kingdom,Dev Shop / Software Consulting,11-50,2023-11-25,2023Q4
117,Ross LLC,United Kingdom,Management Consulting,51+,2026-06-25,2026Q2
118,Rasmussen LLC,Portugal,Digital Agency,11-50,2024-12-24,2024Q4
119,May-Ross,Germany,Branding Agency,51+,2026-05-08,2026Q2
120,"Rivera, Johnson and Wiley",United Kingdom,PR Agency,1-10,2025-12-22,2025Q4
121,White-Estes,Germany,Design Studio,11-50,2023-09-20,2023Q3
122,Johnson-Carlson,Portugal,PR Agency,11-50,2024-05-01,2024Q2
123,Chandler-Edwards,United Kingdom,Design Studio,51+,2026-04-02,2026Q2
124,"Joyce, Wilson and Lam",United States,Management Consulting,1-10,2026-02-25,2026Q1
125,Scott Ltd,United States,Branding Agency,51+,2025-09-09,2025Q3
126,Smith-Frost,United Kingdom,Marketing Agency,11-50,2026-06-12,2026Q2
127,"Mcdaniel, Bentley and Mclaughlin",United States,Marketing Agency,51+,2024-09-25,2024Q3
128,Diaz Inc,United States,Digital Agency,11-50,2026-06-05,2026Q2
129,"Mccall, Hanson and Alvarado",United Kingdom,Design Studio,1-10,2026-03-15,2026Q1
130,Cortez LLC,Germany,Digital Agency,1-10,2025-07-24,2025Q3
131,"Parker, Ortiz and Powell",Germany,Management Consulting,1-10,2025-06-04,2025Q2
132,Spencer-Lee,Portugal,Branding Agency,11-50,2026-02-13,2026Q1
133,"Bentley, Byrd and Orr",United States,Dev Shop / Software Consulting,11-50,2025-03-21,2025Q1
134,"Carroll, Sullivan and Bass",Germany,PR Agency,1-10,2023-08-20,2023Q3
135,Mitchell-Jordan,Germany,Marketing Agency,11-50,2025-12-12,2025Q4
136,"Lawson, Morris and Ramos",Germany,PR Agency,1-10,2024-11-11,2024Q4
137,"Lewis, Kennedy and Santana",United Kingdom,Unknown,1-10,2024-10-12,2024Q4
138,"Jackson, Miller and Robertson",Germany,Branding Agency,11-50,2025-08-06,2025Q3
139,"Harvey, Davis and Crane",Portugal,Dev Shop / Software Consulting,1-10,2025-03-18,2025Q1
140,Chambers and Sons,United Kingdom,Digital Agency,11-50,2024-01-09,2024Q1
141,Hernandez Inc,United States,Management Consulting,51+,2024-06-15,2024Q2
142,Riggs PLC,United Kingdom,Branding Agency,11-50,2025-11-11,2025Q4
143,Gibson Ltd,Portugal,Design Studio,1-10,2024-08-12,2024Q3
144,"Lee, Horton and Snyder",United States,PR Agency,51+,2024-10-09,2024Q4
145,Hernandez Ltd,United Kingdom,Design Studio,1-10,2026-06-24,2026Q2
146,Stafford Inc,United Kingdom,Branding Agency,1-10,2026-06-21,2026Q2
147,Robinson-Brock,United Kingdom,Management Consulting,1-10,2026-01-08,2026Q1
148,"Holmes, Williams and Wright",United States,Management Consulting,11-50,2024-04-16,2024Q2
149,Bryant Group,United States,Digital Agency,51+,2023-12-11,2023Q4
150,"Schmidt, Hansen and Stewart",United Kingdom,Design Studio,1-10,2023-12-04,2023Q4
151,Salazar-Ball,United States,Dev Shop / Software Consulting,11-50,2025-10-23,2025Q4
152,"Simmons, Meadows and Griffin",United States,PR Agency,1-10,2026-05-19,2026Q2
153,Manning Group,United Kingdom,Marketing Agency,1-10,2025-06-27,2025Q2
154,Green-Wright,United States,Marketing Agency,1-10,2025-07-23,2025Q3
155,"Ramirez, Strickland and Washington",United States,Digital Agency,51+,2024-05-10,2024Q2
156,Hill Inc,United States,Branding Agency,51+,2026-06-04,2026Q2
157,"Mitchell, Nelson and Flores",United Kingdom,Branding Agency,1-10,2025-11-11,2025Q4
158,"Miller, Hernandez and Reyes",United States,Branding Agency,51+,2024-12-04,2024Q4
159,Mccarthy Inc,United Kingdom,PR Agency,1-10,2025-10-22,2025Q4
160,Russell-Daniels,United States,Management Consulting,11-50,2023-10-03,2023Q4
161,Brown-Wall,United States,Digital Agency,11-50,2025-07-20,2025Q3
162,Stein-Silva,United States,Branding Agency,11-50,2025-12-15,2025Q4
163,"Smith, Gilmore and Johnston",United Kingdom,Digital Agency,1-10,2024-08-20,2024Q3
164,Smith-Bell,Portugal,Dev Shop / Software Consulting,1-10,2025-11-07,2025Q4
165,Castaneda-Ashley,United States,Design Studio,1-10,2026-06-06,2026Q2
166,Medina-Navarro,United States,PR Agency,1-10,2025-09-20,2025Q3
167,"Hurst, Freeman and Nelson",United States,Management Consulting,1-10,2025-07-23,2025Q3
168,Johnson-Rogers,United States,Management Consulting,1-10,2025-10-26,2025Q4
169,"Yates, Ramsey and Pittman",United Kingdom,Design Studio,11-50,2024-10-14,2024Q4
170,Hooper PLC,United States,Management Consulting,1-10,2024-03-27,2024Q1
171,Meadows PLC,United States,Digital Agency,11-50,2024-10-24,2024Q4
172,"Alvarado, Miller and Patterson",Portugal,Branding Agency,1-10,2025-09-23,2025Q3
173,White-Green,United Kingdom,Digital Agency,1-10,2024-11-16,2024Q4
174,Lewis-Murphy,United Kingdom,PR Agency,51+,2025-01-11,2025Q1
175,Ramirez-Bean,United States,PR Agency,1-10,2024-08-27,2024Q3
176,King-Miller,United Kingdom,Dev Shop / Software Consulting,1-10,2024-03-22,2024Q1
177,Curry Inc,United Kingdom,Design Studio,11-50,2025-02-16,2025Q1
178,Walker-Jones,United Kingdom,Digital Agency,1-10,2026-02-14,2026Q1
179,"Williams, Johnson and Wright",United Kingdom,Management Consulting,1-10,2025-01-14,2025Q1
180,Howell and Sons,Germany,Management Consulting,51+,2023-10-14,2023Q4
181,Wells Inc,United States,Dev Shop / Software Consulting,51+,2026-06-25,2026Q2
182,"Gould, Marshall and Scott",United Kingdom,Management Consulting,1-10,2025-11-04,2025Q4
183,Jackson-Lawson,United Kingdom,Marketing Agency,11-50,2026-01-22,2026Q1
184,"Higgins, Strickland and Martin",United Kingdom,Digital Agency,1-10,2025-07-12,2025Q3
185,Rodriguez-Johnson,United Kingdom,Marketing Agency,1-10,2024-10-07,2024Q4
186,Johnston-Odonnell,United States,PR Agency,1-10,2025-08-16,2025Q3
187,Sanders-Espinoza,Portugal,Design Studio,11-50,2025-01-23,2025Q1
188,Vargas Ltd,United Kingdom,Marketing Agency,11-50,2025-03-08,2025Q1
189,Garcia LLC,Portugal,Marketing Agency,1-10,2023-12-21,2023Q4
190,"Burke, Martinez and Riggs",United Kingdom,Digital Agency,11-50,2025-08-23,2025Q3
191,Reed Group,Germany,Design Studio,51+,2024-02-15,2024Q1
192,"Wood, Hunter and Peterson",United States,Digital Agency,51+,2026-03-24,2026Q1
193,Short-Garcia,Portugal,Dev Shop / Software Consulting,1-10,2024-04-28,2024Q2
194,Reid-Poole,Portugal,Dev Shop / Software Consulting,11-50,2025-08-01,2025Q3
195,"Hernandez, Thompson and Boyd",United States,PR Agency,11-50,2024-07-16,2024Q3
196,"Nelson, Morton and Medina",United Kingdom,Management Consulting,1-10,2024-10-18,2024Q4
197,Marshall-Petersen,United States,Dev Shop / Software Consulting,51+,2023-09-07,2023Q3
198,"Adams, Christian and Rivas",United States,Dev Shop / Software Consulting,1-10,2026-04-25,2026Q2
199,Ramirez Group,United States,Dev Shop / Software Consulting,1-10,2025-03-13,2025Q1
200,Christensen PLC,Germany,Design Studio,11-50,2025-06-16,2025Q2
201,"Barnett, Rogers and Snyder",United States,Management Consulting,51+,2026-03-28,2026Q1
202,White-Lewis,Germany,Branding Agency,1-10,2023-08-01,2023Q3
203,Peterson-Beard,United Kingdom,Design Studio,11-50,2023-07-03,2023Q3
204,"Beard, Peters and Black",Portugal,PR Agency,1-10,2024-06-13,2024Q2
205,Miller Ltd,Portugal,Dev Shop / Software Consulting,51+,2023-10-18,2023Q4
206,Freeman-Chang,United States,Dev Shop / Software Consulting,11-50,2026-01-16,2026Q1
207,"Alvarez, Joseph and West",United States,PR Agency,1-10,2024-10-22,2024Q4
208,Davis and Sons,Portugal,Branding Agency,11-50,2023-12-04,2023Q4
209,Holt-Torres,Germany,Design Studio,1-10,2025-05-23,2025Q2
210,"Wood, Tran and Cooper",United States,Marketing Agency,1-10,2024-12-10,2024Q4
211,"Pierce, Bell and Chavez",United Kingdom,Branding Agency,1-10,2026-05-19,2026Q2
212,King-Martinez,United States,Digital Agency,1-10,2025-06-28,2025Q2
213,Stewart Ltd,Germany,Digital Agency,1-10,2026-03-05,2026Q1
214,"Tapia, Vaughn and Lee",United Kingdom,PR Agency,1-10,2025-08-01,2025Q3
215,"Washington, Hardy and Bray",United Kingdom,Digital Agency,1-10,2026-04-06,2026Q2
216,"Carlson, Hooper and Wall",Portugal,Management Consulting,51+,2025-10-21,2025Q4
217,Perez-White,Germany,Management Consulting,1-10,2024-09-07,2024Q3
218,Erickson and Sons,Portugal,Branding Agency,1-10,2026-02-19,2026Q1
219,Williams-Brown,United States,Marketing Agency,11-50,2026-01-27,2026Q1
220,Terry-Martinez,United States,PR Agency,11-50,2025-05-25,2025Q2
221,Garcia-Smith,United States,Branding Agency,11-50,2026-06-27,2026Q2
222,Harrison-Alexander,United States,Digital Agency,11-50,2023-12-26,2023Q4
223,Sheppard LLC,United Kingdom,PR Agency,11-50,2026-06-25,2026Q2
224,Wilson-Jones,Germany,PR Agency,11-50,2026-06-04,2026Q2
225,Jones-Soto,United Kingdom,Branding Agency,1-10,2024-08-02,2024Q3
226,Hernandez PLC,Germany,Management Consulting,1-10,2025-05-11,2025Q2
227,Miller-Wright,United States,Digital Agency,1-10,2026-01-12,2026Q1
228,"Duran, Obrien and Gibbs",Portugal,Management Consulting,11-50,2026-01-27,2026Q1
229,Rowe Group,Portugal,Dev Shop / Software Consulting,1-10,2025-05-11,2025Q2
230,Kerr-Evans,United Kingdom,Dev Shop / Software Consulting,1-10,2025-09-08,2025Q3
231,"Branch, Torres and Oliver",Germany,Dev Shop / Software Consulting,51+,2025-04-26,2025Q2
232,"Choi, Garcia and Farmer",United States,Management Consulting,1-10,2023-11-18,2023Q4
233,"Clark, Guerrero and Moore",United States,Management Consulting,11-50,2023-11-19,2023Q4
234,Arnold and Sons,United Kingdom,PR Agency,1-10,2024-10-08,2024Q4
235,Ortiz Ltd,United Kingdom,Management Consulting,51+,2024-08-20,2024Q3
236,"Harrison, Johnson and Roberts",United States,PR Agency,11-50,2024-09-10,2024Q3
237,Warner-Gibson,United States,Marketing Agency,1-10,2025-06-10,2025Q2
238,"Hall, Baker and Moody",United States,Digital Agency,1-10,2024-08-05,2024Q3
239,"Guerrero, Peck and Coleman",United States,PR Agency,51+,2024-08-18,2024Q3
240,"Walker, Hernandez and Baker",Germany,Branding Agency,1-10,2024-08-21,2024Q3
241,Jones and Sons,United Kingdom,Management Consulting,1-10,2024-06-02,2024Q2
242,Larson-Holloway,United States,Design Studio,1-10,2025-12-28,2025Q4
243,Gonzales-Harrison,Portugal,PR Agency,1-10,2025-02-12,2025Q1
244,Lyons-Bender,United States,Dev Shop / Software Consulting,51+,2024-05-27,2024Q2
245,"Fernandez, Kim and George",Germany,Digital Agency,11-50,2024-06-01,2024Q2
246,Navarro-Munoz,United States,Dev Shop / Software Consulting,51+,2025-12-19,2025Q4
247,Davis Ltd,Germany,Digital Agency,11-50,2025-12-07,2025Q4
248,"Matthews, Smith and Hubbard",United States,Dev Shop / Software Consulting,11-50,2024-09-20,2024Q3
249,Johnston-Hines,Portugal,Design Studio,1-10,2026-05-18,2026Q2
250,Ruiz Ltd,United States,Marketing Agency,11-50,2026-02-05,2026Q1
251,Moon-White,Germany,Management Consulting,1-10,2026-04-01,2026Q2
252,"Graham, Olsen and Costa",United States,Digital Agency,11-50,2024-11-04,2024Q4
253,Bailey-Cook,United Kingdom,Digital Agency,11-50,2025-04-19,2025Q2
254,"Garcia, Martin and Jenkins",United Kingdom,Marketing Agency,51+,2026-01-24,2026Q1
255,Roberts-Landry,Portugal,Branding Agency,11-50,2024-03-21,2024Q1
256,"Johnson, Miller and King",United States,Branding Agency,1-10,2024-10-14,2024Q4
257,Cordova Group,United Kingdom,Marketing Agency,51+,2025-10-03,2025Q4
258,"Bryan, Smith and Booth",United States,Digital Agency,1-10,2025-01-21,2025Q1
259,Gutierrez-Lopez,Germany,Digital Agency,1-10,2025-09-17,2025Q3
260,Dean-Jimenez,United Kingdom,Dev Shop / Software Consulting,1-10,2024-03-23,2024Q1
261,Wolf-Harris,Germany,Digital Agency,51+,2025-06-24,2025Q2
262,"Anderson, Roberts and Gilmore",United Kingdom,Branding Agency,51+,2025-05-11,2025Q2
263,Martinez-Dudley,United States,Management Consulting,11-50,2025-12-14,2025Q4
264,"Lloyd, Mckinney and Collins",United States,PR Agency,51+,2024-06-16,2024Q2
265,Tran Inc,Germany,Marketing Agency,1-10,2025-09-24,2025Q3
266,Gay Inc,Germany,Digital Agency,11-50,2024-10-18,2024Q4
267,Valentine-Holland,Germany,Dev Shop / Software Consulting,1-10,2025-03-22,2025Q1
268,Jimenez Ltd,United Kingdom,Marketing Agency,51+,2026-06-10,2026Q2
269,Hicks-Hill,United States,Design Studio,11-50,2025-09-05,2025Q3
270,Baird-Sanchez,United States,Dev Shop / Software Consulting,1-10,2025-07-18,2025Q3
271,"Thomas, Lee and Greene",Germany,Dev Shop / Software Consulting,11-50,2024-05-14,2024Q2
272,"Suarez, Shields and Hill",Portugal,Digital Agency,11-50,2026-04-22,2026Q2
273,Morgan-French,United States,Dev Shop / Software Consulting,51+,2024-07-23,2024Q3
274,Hoover-Campbell,United States,Management Consulting,11-50,2025-01-11,2025Q1
275,Monroe-Carpenter,United States,PR Agency,1-10,2024-11-13,2024Q4
276,"Burns, Hernandez and Ryan",Germany,Marketing Agency,51+,2025-07-24,2025Q3
277,Cook-Hines,United States,Design Studio,1-10,2025-05-12,2025Q2
278,Gibson-Morris,United States,Digital Agency,51+,2023-12-03,2023Q4
279,Pollard and Sons,United States,Marketing Agency,11-50,2025-08-22,2025Q3
280,"Reyes, Chase and Jenkins",United Kingdom,Digital Agency,1-10,2023-09-15,2023Q3
281,Garner-Thornton,United States,Unknown,11-50,2025-01-14,2025Q1
282,Hughes-Alvarado,Germany,Digital Agency,11-50,2024-02-22,2024Q1
283,"Pollard, Simpson and Johnson",United States,Marketing Agency,51+,2025-09-01,2025Q3
284,"Sanford, Rivera and Garcia",Portugal,Dev Shop / Software Consulting,11-50,2024-06-09,2024Q2
285,Garcia-Lozano,United States,Branding Agency,1-10,2025-07-06,2025Q3
286,Bowen Group,United Kingdom,Digital Agency,1-10,2024-06-27,2024Q2
287,"Booker, Jones and Harrington",United States,PR Agency,1-10,2024-09-02,2024Q3
288,Morgan-Schwartz,United Kingdom,Management Consulting,1-10,2026-01-19,2026Q1
289,"Miller, Murphy and Craig",United Kingdom,Management Consulting,11-50,2024-09-04,2024Q3
290,"James, Stewart and Higgins",Portugal,Digital Agency,1-10,2026-01-15,2026Q1
291,Brennan-Johnson,Portugal,Dev Shop / Software Consulting,1-10,2024-10-04,2024Q4
292,Young Ltd,United Kingdom,Branding Agency,11-50,2026-03-28,2026Q1
293,Bright-Francis,United States,Design Studio,1-10,2026-05-03,2026Q2
294,Good-Hodges,United States,Dev Shop / Software Consulting,11-50,2024-11-12,2024Q4
295,"Brennan, Wallace and Benson",Portugal,Design Studio,11-50,2026-06-08,2026Q2
296,Williams Inc,United States,Design Studio,1-10,2024-03-25,2024Q1
297,Howard-Jordan,United States,PR Agency,51+,2025-07-16,2025Q3
298,Schmidt PLC,United Kingdom,PR Agency,11-50,2025-04-19,2025Q2
299,"Sparks, Jackson and Miller",Portugal,PR Agency,1-10,2026-01-11,2026Q1
300,Harvey-Allen,United States,Management Consulting,1-10,2024-08-26,2024Q3
301,"Thomas, Murray and King",United States,Management Consulting,11-50,2025-01-15,2025Q1
302,Estrada-Nolan,United States,Marketing Agency,11-50,2024-12-21,2024Q4
303,Santana-Byrd,Portugal,Digital Agency,11-50,2025-06-13,2025Q2
304,Jones LLC,United Kingdom,Marketing Agency,11-50,2025-06-15,2025Q2
305,"Evans, Hayden and Vaughn",United Kingdom,Digital Agency,1-10,2024-06-16,2024Q2
306,Bruce-Gonzalez,Portugal,Dev Shop / Software Consulting,1-10,2025-12-27,2025Q4
307,Castaneda-Rodriguez,Germany,Design Studio,11-50,2024-12-02,2024Q4
308,Armstrong-Andrews,United Kingdom,Digital Agency,1-10,2025-04-20,2025Q2
309,"Phillips, Spence and Barrett",United States,Branding Agency,1-10,2026-03-25,2026Q1
310,Smith-Grimes,United Kingdom,PR Agency,11-50,2026-06-11,2026Q2
311,"Beltran, Lozano and Mcgee",United States,Management Consulting,11-50,2024-07-09,2024Q3
312,Parsons-Hall,Germany,Dev Shop / Software Consulting,51+,2025-06-05,2025Q2
313,Robinson-Lee,United Kingdom,Management Consulting,1-10,2025-11-10,2025Q4
314,Byrd-Le,Germany,Digital Agency,1-10,2025-05-23,2025Q2
315,"Becker, Taylor and Davis",United States,Dev Shop / Software Consulting,1-10,2025-07-11,2025Q3
316,"Lucas, Parker and Alexander",Germany,PR Agency,11-50,2026-06-22,2026Q2
317,"Diaz, Anderson and Browning",United States,Digital Agency,11-50,2026-03-12,2026Q1
318,Burgess-Thompson,United States,Management Consulting,51+,2025-05-25,2025Q2
319,Buchanan LLC,United States,Marketing Agency,1-10,2025-01-10,2025Q1
320,"Shaw, Nelson and Martin",United States,Unknown,11-50,2025-01-24,2025Q1
321,Coffey-Phillips,United States,Dev Shop / Software Consulting,1-10,2025-05-20,2025Q2
322,Brock-Mcdonald,United States,Dev Shop / Software Consulting,1-10,2024-12-23,2024Q4
323,Taylor and Sons,Germany,Branding Agency,1-10,2025-08-02,2025Q3
324,"Ramsey, Whitney and Coffey",Germany,Branding Agency,1-10,2024-10-20,2024Q4
325,"Diaz, Gibbs and Smith",Germany,Digital Agency,1-10,2026-05-08,2026Q2
326,"Martinez, Richardson and Curry",Germany,Dev Shop / Software Consulting,1-10,2026-06-07,2026Q2
327,Richards-Carson,Portugal,Branding Agency,51+,2023-11-25,2023Q4
328,Rodriguez-Hall,United States,Design Studio,11-50,2024-07-27,2024Q3
329,Harvey PLC,United Kingdom,Marketing Agency,51+,2025-05-21,2025Q2
